This is the status file for DejaVu fonts
($Id: status.txt 2425 2010-08-22 16:07:31Z moyogo $)

original = present in original Bitstream Vera 1.10
<version> = added in DejaVu fonts <version>

U+0020 space                original
U+0021 exclam               original
U+0022 quotedbl             original
U+0023 numbersign           original
U+0024 dollar               original
U+0025 percent              original
U+0026 ampersand            original
U+0027 quotesingle          original
U+0028 parenleft            original
U+0029 parenright           original
U+002a asterisk             original
U+002b plus                 original
U+002c comma                original
U+002d hyphen               original
U+002e period               original
U+002f slash                original
U+0030 zero                 original
U+0031 one                  original
U+0032 two                  original
U+0033 three                original
U+0034 four                 original
U+0035 five                 original
U+0036 six                  original
U+0037 seven                original
U+0038 eight                original
U+0039 nine                 original
U+003a colon                original
U+003b semicolon            original
U+003c less                 original
U+003d equal                original
U+003e greater              original
U+003f question             original
U+0040 at                   original
U+0041 A                    original
U+0042 B                    original
U+0043 C                    original
U+0044 D                    original
U+0045 E                    original
U+0046 F                    original
U+0047 G                    original
U+0048 H                    original
U+0049 I                    original
U+004a J                    original
U+004b K                    original
U+004c L                    original
U+004d M                    original
U+004e N                    original
U+004f O                    original
U+0050 P                    original
U+0051 Q                    original
U+0052 R                    original
U+0053 S                    original
U+0054 T                    original
U+0055 U                    original
U+0056 V                    original
U+0057 W                    original
U+0058 X                    original
U+0059 Y                    original
U+005a Z                    original
U+005b bracketleft          original
U+005c backslash            original
U+005d bracketright         original
U+005e asciicircum          original
U+005f underscore           original
U+0060 grave                original
U+0061 a                    original
U+0062 b                    original
U+0063 c                    original
U+0064 d                    original
U+0065 e                    original
U+0066 f                    original
U+0067 g                    original
U+0068 h                    original
U+0069 i                    original
U+006a j                    original
U+006b k                    original
U+006c l                    original
U+006d m                    original
U+006e n                    original
U+006f o                    original
U+0070 p                    original
U+0071 q                    original
U+0072 r                    original
U+0073 s                    original
U+0074 t                    original
U+0075 u                    original
U+0076 v                    original
U+0077 w                    original
U+0078 x                    original
U+0079 y                    original
U+007a z                    original
U+007b braceleft            original
U+007c bar                  original
U+007d braceright           original
U+007e asciitilde           original
U+00a0 nonbreakingspace     original
U+00a1 exclamdown           original
U+00a2 cent                 original
U+00a3 sterling             original
U+00a4 currency             original
U+00a5 yen                  original
U+00a6 brokenbar            original
U+00a7 section              original
U+00a8 dieresis             original
U+00a9 copyright            original
U+00aa ordfeminine          original
U+00ab guillemotleft        original
U+00ac logicalnot           original
U+00ad sfthyphen            original
U+00ae registered           original
U+00af macron               original
U+00b0 degree               original
U+00b1 plusminus            original
U+00b2 twosuperior          original
U+00b3 threesuperior        original
U+00b4 acute                original
U+00b5 mu                   original
U+00b6 paragraph            original
U+00b7 periodcentered       original
U+00b8 cedilla              original
U+00b9 onesuperior          original
U+00ba ordmasculine         original
U+00bb guillemotright       original
U+00bc onequarter           original
U+00bd onehalf              original
U+00be threequarters        original
U+00bf questiondown         original
U+00c0 Agrave               original
U+00c1 Aacute               original
U+00c2 Acircumflex          original
U+00c3 Atilde               original
